('00-0029668', ('A.Luck', 'IND', 'QB')) 1
28.7 , 20.2 , 0 , 16.6395587159
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 1
10.0 , 12.0 , 0 , 10.7207334776
('00-0027793', ('A.Brown', 'PIT', 'WR')) 1
17.6 , 15.0 , 0 , 11.4233741384
('00-0028009', ('D.Murray', 'DAL', 'RB')) 1
18.3 , 17.0 , 0 , 15.7460536645
('00-0029668', ('A.Luck', 'IND', 'QB')) 2
19.88 , 20.8 , 28.7 , 19.6031350612
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 2
3.2 , 12.5 , 10.0 , 9.82148486958
('00-0027793', ('A.Brown', 'PIT', 'WR')) 2
10.0 , 15.0 , 17.6 , 10.43894231
('00-0028009', ('D.Murray', 'DAL', 'RB')) 2
21.3 , 17.5 , 18.3 , 14.8418354125
('00-0029668', ('A.Luck', 'IND', 'QB')) 3
32.3 , 20.2 , 24.29 , 19.1046721777
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 3
10.4 , 13.0 , 6.6 , 8.73656339748
('00-0027793', ('A.Brown', 'PIT', 'WR')) 3
21.0 , 14.0 , 13.8 , 10.7679756956
('00-0028009', ('D.Murray', 'DAL', 'RB')) 3
17.1 , 19.0 , 19.8 , 14.9841606025
('00-0029668', ('A.Luck', 'IND', 'QB')) 4
30.62 , 20.2 , 26.96 , 19.395706845
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 4
9.1 , 12.5 , 7.86666666667 , 7.87139655576
('00-0027793', ('A.Brown', 'PIT', 'WR')) 4
25.78 , 16.0 , 16.2 , 12.4719665511
('00-0028009', ('D.Murray', 'DAL', 'RB')) 4
27.5 , 18.0 , 18.9 , 15.7082222998
('00-0029668', ('A.Luck', 'IND', 'QB')) 5
21.68 , 24.8 , 27.875 , 20.9628852114
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 5
16.0 , 12.0 , 8.175 , 7.93547080205
('00-0027793', ('A.Brown', 'PIT', 'WR')) 5
8.4 , 17.0 , 18.595 , 12.9081866995
('00-0028009', ('D.Murray', 'DAL', 'RB')) 5
17.2 , 18.5 , 21.05 , 16.108520972
('00-0029668', ('A.Luck', 'IND', 'QB')) 6
25.6 , 22.5 , 26.636 , 22.3066982934
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 6
9.4 , 12.0 , 9.74 , 9.45325731212
('00-0027793', ('A.Brown', 'PIT', 'WR')) 6
11.6 , 17.0 , 16.556 , 12.1390085295
('00-0028009', ('D.Murray', 'DAL', 'RB')) 6
20.6 , 9.5 , 20.28 , 17.3128949432
('00-0029668', ('A.Luck', 'IND', 'QB')) 7
20.26 , 26.1 , 26.4633333333 , 21.6744403066
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 7
6.8 , 14.0 , 9.68333333333 , 9.83015358959
('00-0027793', ('A.Brown', 'PIT', 'WR')) 7
13.12 , 16.5 , 15.73 , 12.1561379813
('00-0028009', ('D.Murray', 'DAL', 'RB')) 7
19.2 , 19.5 , 20.3333333333 , 16.9859544431
('00-0029668', ('A.Luck', 'IND', 'QB')) 8
28.6 , 26.3 , 25.5771428571 , 21.289640617
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 8
32.9 , 13.0 , 9.27142857143 , 8.9543964385
('00-0027793', ('A.Brown', 'PIT', 'WR')) 8
25.8 , 16.0 , 15.3571428571 , 12.2089952554
('00-0028009', ('D.Murray', 'DAL', 'RB')) 8
20.1 , 18.0 , 20.1714285714 , 15.8770075523
('00-0029668', ('A.Luck', 'IND', 'QB')) 9
30.66 , 26.9 , 25.955 , 22.474008732
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 9
16.5 , 13.0 , 12.225 , 11.1170678954
('00-0027793', ('A.Brown', 'PIT', 'WR')) 9
20.4 , 16.0 , 16.6625 , 13.1017994215
('00-0028009', ('D.Murray', 'DAL', 'RB')) 9
9.0 , 18.0 , 20.1625 , 17.5055992367
('00-0029668', ('A.Luck', 'IND', 'QB')) 10
None , None , 26.4777777778 , 20.4643388654
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 10
None , None , 12.7 , 12.6301416463
('00-0027793', ('A.Brown', 'PIT', 'WR')) 10
3.4 , 17.0 , 17.0777777778 , 13.4401923054
('00-0028009', ('D.Murray', 'DAL', 'RB')) 10
13.1 , 20.5 , 18.9222222222 , 15.4636550035
('00-0029668', ('A.Luck', 'IND', 'QB')) 11
20.62 , 26.1 , 26.4777777778 , 21.8917687241
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 11
13.1 , 15.0 , 12.7 , 12.5932249724
('00-0027793', ('A.Brown', 'PIT', 'WR')) 11
15.1 , 17.0 , 15.71 , 11.5206097461
('00-0028009', ('D.Murray', 'DAL', 'RB')) 11
None , None , 18.34 , 14.96392709
('00-0029668', ('A.Luck', 'IND', 'QB')) 12
15.02 , 26.5 , 25.892 , 21.6840832945
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 12
7.8 , 13.5 , 12.74 , 12.0721192276
('00-0027793', ('A.Brown', 'PIT', 'WR')) 12
None , None , 15.6545454545 , 11.4218250394
('00-0028009', ('D.Murray', 'DAL', 'RB')) 12
14.3 , 19.5 , 18.34 , 14.8290307821
('00-0029668', ('A.Luck', 'IND', 'QB')) 13
33.8 , 25.5 , 24.9036363636 , 20.3644266087
('00-0027656', ('R.Gronkowski', 'NE', 'TE')) 13
9.8 , 13.5 , 12.2909090909 , 10.1121609223
('00-0027793', ('A.Brown', 'PIT', 'WR')) 13
23.7 , 17.0 , 15.6545454545 , 12.5708755309
('00-0028009', ('D.Murray', 'DAL', 'RB')) 13
17.3 , 19.0 , 17.9727272727 , 14.9241124154
